づ [U+3065]
て [U+3066]
で [U+3067]
と [U+3068]
ど [U+3069]
な [U+306A]
に [U+306B]
ぬ [U+306C]
ね [U+306D]
の [U+306E]
は [U+306F]
ば [U+3070]
ぱ [U+3071]
ひ [U+3072]
び [U+3073]
ぴ [U+3074]
ふ [U+3075]
ぶ [U+3076]
ぷ [U+3077]
へ [U+3078]
べ [U+3079]
ぺ [U+307A]
ほ [U+307B]
ぼ [U+307C]
ぽ [U+307D]
ま [U+307E]
み [U+307F]
む [U+3080]
め [U+3081]
も [U+3082]
ゃ [U+3083]
や [U+3084]
ゅ [U+3085]
ゆ [U+3086]
ょ [U+3087]
よ [U+3088]
ら [U+3089]
り [U+308A]
る [U+308B]
れ [U+308C]
ろ [U+308D]
ゎ [U+308E]
わ [U+308F]
ゐ [U+3090]
ゑ [U+3091]
を [U+3092]
ん [U+3093]
ゕ [U+3095]
ゖ [U+3096]
゚ [U+309A]
ゝ [U+309D]
ゞ [U+309E]
ゟ [U+309F]
ァ [U+30A1]
ア [U+30A2]
ィ [U+30A3]
イ [U+30A4]
ゥ [U+30A5]
ウ [U+30A6]
ェ [U+30A7]
エ [U+30A8]
ォ [U+30A9]
オ [U+30AA]
カ [U+30AB]
ガ [U+30AC]
キ [U+30AD]
ギ [U+30AE]
ク [U+30AF]
グ [U+30B0]
ケ [U+30B1]
ゲ [U+30B2]
コ [U+30B3]
ゴ [U+30B4]
サ [U+30B5]
ザ [U+30B6]
シ [U+30B7]
ジ [U+30B8]
ス [U+30B9]
ズ [U+30BA]
セ [U+30BB]
ゼ [U+30BC]
ソ [U+30BD]
ゾ [U+30BE]
タ [U+30BF]
ダ [U+30C0]
チ [U+30C1]
ヂ [U+30C2]
ッ [U+30C3]
ツ [U+30C4]
ヅ [U+30C5]
テ [U+30C6]
デ [U+30C7]
ト [U+30C8]
ド [U+30C9]
ナ [U+30CA]
ニ [U+30CB]
ヌ [U+30CC]
ネ [U+30CD]
ノ [U+30CE]
ハ [U+30CF]
バ [U+30D0]
パ [U+30D1]
ヒ [U+30D2]
ビ [U+30D3]
ピ [U+30D4]
フ [U+30D5]
ブ [U+30D6]
プ [U+30D7]
ヘ [U+30D8]
ベ [U+30D9]
ペ [U+30DA]
ホ [U+30DB]
ボ [U+30DC]
ポ [U+30DD]
マ [U+30DE]
ミ [U+30DF]
ム [U+30E0]
メ [U+30E1]
モ [U+30E2]
ャ [U+30E3]
ヤ [U+30E4]
ュ [U+30E5]
ユ [U+30E6]
ョ [U+30E7]
